source	sourceUrl	optimized	sourceDimensions	optimizedDimensions	sourceSize	optimizedSize	savingsPercent	note
assets/by-project/independent-lens/current-site/001-independent-lens-poster-mockup.png		assets/by-project/independent-lens/current-site/Web Optimized/optimized/001-independent-lens-poster-mockup-2560q82.webp	3227x4760	1736x2560	16.41 MB	247.8 KB	98.5	Local source image.
assets/by-project/independent-lens/current-site/002-independent-lens-brochure-1cover.png		assets/by-project/independent-lens/current-site/Web Optimized/optimized/002-independent-lens-brochure-1cover-2560q82.webp	4000x4000	2560x2560	17.77 MB	530.7 KB	97.1	Local source image.
assets/by-project/independent-lens/current-site/003-independent-lens-brochure-1.png		assets/by-project/independent-lens/current-site/Web Optimized/optimized/003-independent-lens-brochure-1-2560q82.webp	4000x4000	2560x2560	18.43 MB	454.3 KB	97.6	Local source image.
assets/by-project/independent-lens/current-site/004-independent-lens-brochure-2.png		assets/by-project/independent-lens/current-site/Web Optimized/optimized/004-independent-lens-brochure-2-2560q82.webp	4000x4000	2560x2560	15.13 MB	376.3 KB	97.6	Local source image.
assets/by-project/independent-lens/current-site/005-independent-lens-brochure-3.png		assets/by-project/independent-lens/current-site/Web Optimized/optimized/005-independent-lens-brochure-3-2560q82.webp	4000x4000	2560x2560	20.78 MB	1.04 MB	95	Local source image.
assets/by-project/independent-lens/current-site/006-independent-lens-brochure-4.png		assets/by-project/independent-lens/current-site/Web Optimized/optimized/006-independent-lens-brochure-4-2560q82.webp	4000x4000	2560x2560	16.56 MB	507.1 KB	97	Local source image.
assets/by-project/independent-lens/current-site/007-independent-lens-brochure-5.png		assets/by-project/independent-lens/current-site/Web Optimized/optimized/007-independent-lens-brochure-5-2560q82.webp	4000x4000	2560x2560	18.16 MB	745.9 KB	96	Local source image.
assets/by-project/independent-lens/current-site/008-independent-lens-brochure-6back.png		assets/by-project/independent-lens/current-site/Web Optimized/optimized/008-independent-lens-brochure-6back-2560q82.webp	4000x4000	2560x2560	18.40 MB	783.4 KB	95.8	Local source image.
assets/by-project/independent-lens/current-site/009-group-1.png		assets/by-project/independent-lens/current-site/Web Optimized/optimized/009-group-1-2560q82.webp	1875x1250	1875x1250	1.58 MB	119.6 KB	92.6	Local source image.
assets/by-project/independent-lens/current-site/010-group-2.png		assets/by-project/independent-lens/current-site/Web Optimized/optimized/010-group-2-2560q82.webp	1875x1250	1875x1250	1.42 MB	106.0 KB	92.7	Local source image.
assets/by-project/independent-lens/current-site/011-group-3.png		assets/by-project/independent-lens/current-site/Web Optimized/optimized/011-group-3-2560q82.webp	1875x1250	1875x1250	2.21 MB	227.3 KB	89.9	Local source image.
assets/by-project/independent-lens/current-site/012-group-4.png		assets/by-project/independent-lens/current-site/Web Optimized/optimized/012-group-4-2560q82.webp	1875x1250	1875x1250	1.63 MB	85.8 KB	94.9	Local source image.
assets/by-project/independent-lens/current-site/013-screenshot-2024-12-15-at-5.30.12pm.png		assets/by-project/independent-lens/current-site/Web Optimized/optimized/013-screenshot-2024-12-15-at-5.30.12pm-2560q82.webp	1688x632	1688x632	428.8 KB	118.9 KB	72.3	Local source image.
assets/by-project/independent-lens/current-site/014-_dsc3504.jpg		assets/by-project/independent-lens/current-site/Web Optimized/optimized/014-_dsc3504-2560q82.webp	5838x3892	2560x1707	11.13 MB	196.9 KB	98.3	Local source image.
archive/generated-artifacts/media-qa/thumbnail-audit/independent-cms-xgjos.jpg	https://framerusercontent.com/images/xgjosOS16LZVpd3huScx2lW1g.jpg	assets/by-project/independent-lens/current-site/Web Optimized/optimized/cms-thumbnail-xgjos-1600q82.webp	1600x893	1600x893	135.9 KB	82.2 KB	39.5	Current All Projects CMS Thumbnail source, optimized locally for optional replacement.
