order,role,framerTarget,hash,name,kind,originalWidth,originalHeight,originalBytes,sourcePath,optimizedPath,optimizedBytes,optimizedWidth,optimizedHeight,uploadToFramerThenReplace
1,hero,native image layer vRT3h0LcT,X2115573292370133508607673882133,Seek-Truth-Cover.png,image,7632,3007,21557094,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/X2115573292370133508607673882133__Seek-Truth-Cover.png,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/X2115573292370133508607673882133__Seek-Truth-Cover.webp,101360,2600,1024,
2,cover left,native image layer TkA2WJz9S,Z2115569781382887215395005257237,Seek-Truth-Cover.png,image,1875,1250,1482366,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/Z2115569781382887215395005257237__Seek-Truth-Cover.png,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/Z2115569781382887215395005257237__Seek-Truth-Cover.webp,46970,1800,1200,
3,cover right,native image layer ijjdfRWgU,C1559077863609989868319825712661,Untitled-2.png,image,1875,1250,1801695,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/C1559077863609989868319825712661__Untitled-2.png,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/C1559077863609989868319825712661__Untitled-2.webp,63282,1800,1200,
4,interior spread,SeekTruthCargoSlideshow / interior grid,A1556789805770820217683306599957,Inside-Cover-Page.png,image,4400,3300,12057750,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/A1556789805770820217683306599957__Inside-Cover-Page.png,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/A1556789805770820217683306599957__Inside-Cover-Page.webp,160986,1800,1350,
5,interior spread,SeekTruthCargoSlideshow / interior grid,X1556789805789266961757016151573,Open-Pages---Portrait-2.png,image,4400,3300,17754119,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/X1556789805789266961757016151573__Open-Pages---Portrait-2.png,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/X1556789805789266961757016151573__Open-Pages---Portrait-2.webp,165326,1800,1350,
6,interior spread,SeekTruthCargoSlideshow / interior grid,U1556858323988072722967638038037,Open-Pages---Portrait-Recovered-2.png,image,1666,1250,1281713,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/U1556858323988072722967638038037__Open-Pages---Portrait-Recovered-2.png,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/U1556858323988072722967638038037__Open-Pages---Portrait-Recovered-2.webp,108246,1666,1250,
7,interior spread,SeekTruthCargoSlideshow / interior grid,F1556877210354951197165288150549,Open-Pages---Portrait-Recovered18.png,image,1666,1250,2118326,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/F1556877210354951197165288150549__Open-Pages---Portrait-Recovered18.png,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/F1556877210354951197165288150549__Open-Pages---Portrait-Recovered18.webp,378788,1666,1250,
8,interior spread,SeekTruthCargoSlideshow / interior grid,J1556886033635555837254631151125,Untitled-2.png,image,1666,1250,1312725,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/J1556886033635555837254631151125__Untitled-2.png,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/J1556886033635555837254631151125__Untitled-2.webp,176534,1666,1250,
9,interior spread,SeekTruthCargoSlideshow / interior grid,A1556858324430794580736667276821,Open-Pages---Portrait-Recovered.png,image,1666,1250,1197607,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/A1556858324430794580736667276821__Open-Pages---Portrait-Recovered.png,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/A1556858324430794580736667276821__Open-Pages---Portrait-Recovered.webp,134396,1666,1250,
10,interior spread,SeekTruthCargoSlideshow / interior grid,Z1556789805401885336209115567637,Open-Pages---Portrait-4.png,image,4400,3300,15592246,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/Z1556789805401885336209115567637__Open-Pages---Portrait-4.png,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/Z1556789805401885336209115567637__Open-Pages---Portrait-4.webp,111880,1800,1350,
